Nome Original,Nome Traduzido
Brandy,Conhaque  
"Brandy, cooked","Conhaque, cozido"
Cointreau,Cointreau  
"Cider, apple, alcoholic, draught style","Sidra de maçã, alcoólica, estilo de chopp  "
"Cider, apple, alcoholic, dry style","Sidra de maçã, alcoólica, estilo seco  "
"Cider, apple, alcoholic, sweet style","Sidra de maçã, alcoólica, estilo doce  "
"Cider, apple, alcoholic, not further defined","Sidra de maçã, alcoólica, não definido mais"
"Cider, pear (perry), alcoholic","Cidra, pera (perry), alcoólica  "
Ethanol 100%,Etanol 100%  
Gin,Gin  
"Liqueur, advocaat","Licor, advocaat  "
"Liqueur, cream-based, coffee flavour","Licor, à base de creme, sabor café"
"Liqueur, cream-based, non-coffee flavours","Licor, à base de creme, sabores não café  "
"Liqueur, 25% v/v alcohol, not cream based","Licor, 25% v/v de álcool, não à base de creme  "
Mirin,Mirin  
Ouzo,Ouzo  
Port,Porto
"Rum, dark & light coloured","Rum, escuro e claro  "
"Sherry, dry style (~ 1% sugars)","Jerez, estilo seco (~ 1% de açúcares)  "
"Sherry, sweet style (~11% sugars)","Jerez, estilo doce (~11% de açúcares)  "
"Sherry, not further defined","Jerez, não definido  "
Tequila,Tequila
Vodka,Vodca  
Whisky or scotch,Uísque ou escocês  
"Spirit, not further defined","Espírito, não definido mais  "
"Cocktail, cream or milk based","Coquetel, à base de creme ou leite  "
"Cocktail, fruit juice based","Coquetel, à base de suco de fruta"
"Cocktail, soft drink based","Coquetel, à base de refrigerante  "
"Mixed drink, gin & tonic, commercial, pre-mixed","Bebida mista, gin & tônica, comercial, pré-misturada  "
"Mixed drink, rum & cola, pre-mixed","Bebida mista, rum & cola, pré-misturada  "
"Mixed drink, spirit & energy drink","Bebida mista, destilado & bebida energética  "
"Mixed drink, spirit & non-cola flavoured soft drink, home-mixed","Bebida mista, destilado & refrigerante sabor não-cola, misturada em casa"
"Mixed drink, spirit & soda, home-mixed","Bebida mista, destilado e refrigerante, misturado em casa  "
"Mixed drink, spirit & tonic, home-mixed","Bebida mista, destilado e tônica, misturado em casa  "
"Mixed drink, vodka & fruit juice, home-mixed","Bebida mista, vodka e suco de fruta, misturado em casa  "
"Mixed drink, vodka & non-cola flavoured soft drink, commercial, pre-mixed","Bebida mista, vodka e refrigerante com sabor não-cola, comercial, pré-misturado  "
"Mixed drink, whisky or scotch & ice","Bebida mista, uísque ou scotch e gelo"
"Mixed drink, whisky or scotch & regular cola, commercial, pre-mixed","Bebida mista, uísque ou scotch & cola comum, comercial, pré-misturada  "
"Mixed drink, whisky or scotch & regular cola, home-mixed","Bebida mista, uísque ou scotch & cola comum, misturada em casa  "
"Mixed drink, whisky or scotch & diet soft drink","Bebida mista, uísque ou scotch & refrigerante diet  "
"Mixed drink, whisky or scotch & dry, commercial, pre-mixed","Bebida mista, uísque ou scotch & seco, comercial, pré-misturado  "
"Mixed drink, wine & regular cola soft drink, home-mixed","Bebida mista, vinho & refrigerante cola comum, misturada em casa"
"Wine cooler, wine & fruit juice blend, all flavours","Cooler de vinho, mistura de vinho e suco de fruta, todos os sabores  "
"Wine, red","Vinho, tinto  "
"Wine, red, reduced alcohol","Vinho, tinto, com álcool reduzido  "
"Wine, red, sparkling","Vinho, tinto, espumante  "
"Wine, red, cooked","Vinho, tinto, cozido"
"Wine, rose","Vinho, rosé  "
"Wine, white, dry style (sugars content < 1%)","Vinho, branco, seco (teor de açúcar < 1%)  "
"Wine, white, medium dry style (~ 1% sugars)","Vinho, branco, meio seco (~ 1% de açúcar)  "
"Wine, white, medium sweet style (~ 2.5% sugars)","Vinho, branco, meio doce (~ 2,5% de açúcar)  "
"Wine, white, reduced alcohol","Vinho, branco, com álcool reduzido"
"Wine, white, cooked","Vinho, branco, cozido  "
"Wine, white, not further defined","Vinho, branco, não definido  "
"Wine, white, sparkling","Vinho, branco, espumante  "
"Wine, white, sparkling, de-alcoholised","Vinho, branco, espumante, desalcoolizado  "
"Wine, white, sweet dessert style","Vinho, branco, estilo doce de sobremesa"
"Wine, not further defined","Vinho, não definido  "
Cocoa powder,Cacau em pó  
"Beverage base, banana flavour (Nesquik brand)","Base de bebida, sabor banana (marca Nesquik)  "
"Beverage base, chocolate flavour, unfortified (Nesquik brand)","Base de bebida, sabor chocolate, não fortificada (marca Nesquik)  "
"Beverage base, chocolate flavour, added vitamins A & B3 & Fe","Base de bebida, sabor chocolate, com adição de vitaminas A & B3 & Fe"
"Beverage base, chocolate flavour, added vitamins A, B1, B2, C, D & folate, Ca & Fe (Milo)","Base de bebida, sabor chocolate, vitaminas A, B1, B2, C, D & folato adicionadas, Ca & Fe (Milo)  "
"Beverage base, chocolate flavour, added vitamins A, B1, B2, B3, C, D & folate & Ca (Aktavite)","Base de bebida, sabor chocolate, vitaminas A, B1, B2, B3, C, D & folato & Ca adicionadas (Aktavite)  "
"Beverage base, drinking chocolate, unfortified","Base de bebida, chocolate para beber, não fortificado  "
"Beverage base, malted milk powder, unfortified","Base de bebida, pó de leite maltado, não fortificado  "
"Beverage base, malted milk powder, added vitamins A, B1, B2, B3, B6, B12, biotin, C, D E & folate, Ca & Zn","Base de bebida, pó de leite maltado, vitaminas A, B1, B2, B3, B6, B12, biotina, C, D, E & folato, Ca & Zn adicionadas"
"Beverage base, malt chocolate flavour, added vitamins A, B1, B2, C, D & folate, Ca & Fe (Milo malt)","Base de bebida, sabor chocolate maltado, vitaminas A, B1, B2, C, D & folato adicionadas, Ca & Fe (Milo malt)  "
"Beverage base, strawberry flavour, unfortified (Nesquik brand)","Base de bebida, sabor morango, não fortificada (marca Nesquik)  "
"Beverage base, strawberry flavour, from drinking straw, containing added sugar & intense sweetener, unfortified","Base de bebida, sabor morango, de canudo, contendo açúcar adicionado & adoçante intenso, não fortificada  "
"Beverage, chocolate flavour, from cocoa powder, with cows milk","Bebida, sabor chocolate, de pó de cacau, com leite de vaca  "
"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk","Bebida, sabor chocolate, de chocolate em pó, com leite de vaca integral"
"Beverage, chocolate flavour, from drinking chocolate, with reduced fat cows milk","Bebida, sabor chocolate, de chocolate para beber, com leite de vaca reduzido em gordura  "
"Beverage, chocolate flavour, from drinking chocolate, with skim cows milk","Bebida, sabor chocolate, de chocolate para beber, com leite de vaca desnatado  "
"Beverage, chocolate flavour, from drinking chocolate, with soy milk","Bebida, sabor chocolate, de chocolate para beber, com leite de soja  "
"Beverage, chocolate flavour, from drinking chocolate, with water","Bebida, sabor chocolate, de chocolate para beber, com água  "
"Beverage, chocolate flavour, from original Milo powder, with cows milk","Bebida, sabor chocolate, de pó original de Milo, com leite de vaca"
"Beverage, chocolate flavour, from original Milo powder, with soy milk","Bebida, sabor chocolate, a partir do pó original de Milo, com leite de soja  "
"Beverage, chocolate flavour, from Ovaltine powder, with cows milk","Bebida, sabor chocolate, a partir do pó de Ovaltine, com leite de vaca  "
"Chai latte, dry powder mix containing milk solids & sugar","Chai latte, mistura em pó seca contendo sólidos de leite e açúcar  "
"Chai latte, prepared from chai mix powder & water, no added milk","Chai latte, preparado a partir do pó de mistura de chai e água, sem leite adicionado  "
"Chai latte, prepared from chai mix powder & regular fat cows milk","Chai latte, preparado a partir do pó de mistura de chai e leite de vaca integral"
"Chai latte, prepared from chai mix powder & reduced fat cows milk","Chá latte, preparado com pó de mistura de chai e leite de vaca com baixo teor de gordura  "
"Chai latte, prepared from chai mix powder & skim cows milk","Chá latte, preparado com pó de mistura de chai e leite de vaca desnatado  "
"Chai latte, prepared from chai mix powder & soy milk","Chá latte, preparado com pó de mistura de chai e leite de soja  "
"Coffee, instant, dry powder or granules","Café, instantâneo, pó seco ou grânulos  "
"Coffee, black, from instant coffee powder, without milk","Café, preto, feito com pó de café instantâneo, sem leite"
"Coffee, white, from instant coffee powder, made up with regular fat cows milk","Café, branco, de pó de café solúvel, preparado com leite de vaca integral  "
"Coffee, white, from instant coffee powder, made up with cows milk not further defined","Café, branco, de pó de café solúvel, preparado com leite de vaca não definido  "
"Coffee, instant, dry powder or granules, decaffeinated","Café, solúvel, pó seco ou grânulos, descafeinado  "
"Coffee, black, from instant coffee powder, decaffeinated, without milk","Café, preto, de pó de café solúvel, descafeinado, sem leite  "
"Coffee, white, from instant coffee powder, decaffeinated, made up with cows milk not further defined","Café, branco, de pó de café solúvel, descafeinado, preparado com leite de vaca não definido"
"Coffee, espresso style, without milk","Café, estilo espresso, sem leite  "
"Coffee, espresso style, decaffeinated, without milk","Café, estilo espresso, descafeinado, sem leite  "
"Coffee, from ground coffee beans, with regular fat coffee whitener","Café, de grãos de café moídos, com creme de café regular  "
"Coffee, from instant or ground beans, Turkish, no milk, added sugar","Café, de grãos instantâneos ou moídos, turco, sem leite, com açúcar adicionado  "
"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk","Café, cappuccino, de grãos de café moídos, com leite de vaca regular"
"Coffee, cappuccino, from ground coffee beans, double shot, with regular fat cows milk","Café, cappuccino, de grãos de café moídos, dose dupla, com leite de vaca integral  "
"Coffee, cappuccino, from ground coffee beans, with reduced fat cows milk","Café, cappuccino, de grãos de café moídos, com leite de vaca desnatado  "
"Coffee, cappuccino, from ground coffee beans, double shot, with reduced fat cows milk","Café, cappuccino, de grãos de café moídos, dose dupla, com leite de vaca desnatado  "
"Coffee, cappuccino, from ground coffee beans, with skim cows milk","Café, cappuccino, de grãos de café moídos, com leite de vaca desnatado  "
"Coffee, cappuccino, from ground coffee beans, double shot, with skim cows milk","Café, cappuccino, de grãos de café moídos, dose dupla, com leite de vaca desnatado"
"Coffee, cappuccino, from ground coffee beans, with cows milk not further defined","Café, cappuccino, de grãos de café moídos, com leite de vaca não definido  "
"Coffee, cappuccino, from ground coffee beans, with regular fat soy milk","Café, cappuccino, de grãos de café moídos, com leite de soja integral  "
"Coffee, cappuccino, from ground coffee beans, with reduced fat soy milk","Café, cappuccino, de grãos de café moídos, com leite de soja desnatado  "
"Coffee, cappuccino, from ground coffee beans, with rice milk","Café, cappuccino, de grãos de café moídos, com leite de arroz  "
"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk","Café, flat white ou latte, de grãos de café moídos, com leite de vaca integral"
"Coffee, flat white or latte, from ground coffee beans, double shot, with regular fat cows milk","Café, flat white ou latte, feito de grãos de café moídos, dose dupla, com leite de vaca integral  "
"Coffee, flat white or latte, from ground coffee beans, with reduced fat cows milk","Café, flat white ou latte, feito de grãos de café moídos, com leite de vaca desnatado  "
"Coffee, flat white or latte, from ground coffee beans, double shot, with reduced fat cows milk","Café, flat white ou latte, feito de grãos de café moídos, dose dupla, com leite de vaca desnatado  "
"Coffee, flat white or latte, from ground coffee beans, with skim cows milk","Café, flat white ou latte, feito de grãos de café moídos, com leite de vaca desnatado  "
"Coffee, flat white or latte, from ground coffee beans, double shot, with skim cows milk","Café, flat white ou latte, feito de grãos de café moídos, dose dupla, com leite de vaca desnatado"
"Coffee, flat white or latte, from ground coffee beans, with cows milk not further defined","Café, flat white ou latte, feito de grãos de café moídos, com leite de vaca não definido  "
"Coffee, flat white or latte, from ground coffee beans, with regular fat soy milk","Café, flat white ou latte, feito de grãos de café moídos, com leite de soja regular  "
"Coffee, flat white or latte, from ground coffee beans, with reduced fat soy milk","Café, flat white ou latte, feito de grãos de café moídos, com leite de soja com baixo teor de gordura  "
"Coffee, cappuccino, flat white or latte, from ground coffee beans, double shot, with cows milk not further defined","Café, cappuccino, flat white ou latte, feito de grãos de café moídos, dose dupla, com leite de vaca não definido  "
"Coffee, cappuccino, flat white or latte, from ground coffee beans, double shot, with soy milk not further defined","Café, cappuccino, flat white ou latte, feito de grãos de café moídos, dose dupla, com leite de soja não definido"
"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with regular fat cows milk","Café, cappuccino, flat white ou latte, feito de grãos de café moídos, meia dose, com leite de vaca integral  "
"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with reduced fat cows milk","Café, cappuccino, flat white ou latte, feito de grãos de café moídos, meia dose, com leite de vaca desnatado  "
"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with skim cows milk","Café, cappuccino, flat white ou latte, feito de grãos de café moídos, meia dose, com leite de vaca desnatado  "
"Coffee, cappuccino, flat white or latte, from ground coffee beans, half shot, with soy milk not further defined","Café, cappuccino, flat white ou latte, feito de grãos de café moídos, meia dose, com leite de soja não definido  "
"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with regular fat cows milk","Café, cappuccino, flat white ou latte, feito de grãos de café moídos, descafeinado, com leite de vaca integral"
"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with reduced fat cows milk","Café, cappuccino, flat white ou latte, feito de grãos de café moídos, descafeinado, com leite de vaca com baixo teor de gordura  "
"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with skim cows milk","Café, cappuccino, flat white ou latte, feito de grãos de café moídos, descafeinado, com leite desnatado  "
"Coffee, cappuccino, flat white or latte, from ground coffee beans, decaffeinated, with soy milk not further defined","Café, cappuccino, flat white ou latte, feito de grãos de café moídos, descafeinado, com leite de soja não definido  "
"Coffee, macchiato, from ground coffee beans, with regular fat cows milk","Café, macchiato, feito de grãos de café moídos, com leite de vaca integral  "
"Coffee, macchiato, from ground coffee beans, with reduced fat cows milk","Café, macchiato, feito de grãos de café moídos, com leite de vaca com baixo teor de gordura"
"Coffee, macchiato, from ground coffee beans, with skim cows milk","Café, macchiato, de grãos de café moídos, com leite desnatado de vaca  "
"Coffee, macchiato, from ground coffee beans, with cows milk not further defined","Café, macchiato, de grãos de café moídos, com leite de vaca não definido  "
"Coffee, macchiato, from ground coffee beans, with soy milk not further defined","Café, macchiato, de grãos de café moídos, com leite de soja não definido  "
"Coffee, macchiato, from ground coffee beans, decaffeinated, with regular fat cows milk","Café, macchiato, de grãos de café moídos, descafeinado, com leite integral de vaca  "
"Coffee, macchiato, from ground coffee beans, decaffeinated, with reduced fat cows milk","Café, macchiato, de grãos de café moídos, descafeinado, com leite semidesnatado de vaca"
"Coffee, mocha, from ground coffee beans, with regular fat cows milk","Café, mocha, feito de grãos de café moídos, com leite de vaca integral  "
"Coffee, mocha, from ground coffee beans, with reduced fat cows milk","Café, mocha, feito de grãos de café moídos, com leite de vaca desnatado  "
"Coffee, mocha, from ground coffee beans, with skim cows milk","Café, mocha, feito de grãos de café moídos, com leite de vaca desnatado  "
"Coffee, mocha, from ground coffee beans, with cows milk not further defined","Café, mocha, feito de grãos de café moídos, com leite de vaca não especificado  "
"Coffee, mocha, from ground coffee beans, double shot, with cows milk not further defined","Café, mocha, feito de grãos de café moídos, dose dupla, com leite de vaca não especificado"
"Coffee, mocha, from ground coffee beans, with soy milk not further defined","Café, mocha, de grãos de café moídos, com leite de soja não definido"
"Coffee, mocha, from ground coffee beans, decaffeinated, with regular fat cows milk","Café, mocha, de grãos de café moídos, descafeinado, com leite de vaca integral"
"Coffee, mocha, from ground coffee beans, decaffeinated, with reduced fat cows milk","Café, mocha, de grãos de café moídos, descafeinado, com leite de vaca desnatado"
"Coffee, long black style, from ground coffee beans, without milk","Café, estilo longo preto, de grãos de café moídos, sem leite"
"Coffee, long black style, from ground coffee beans, double shot, without milk","Café, estilo longo preto, de grãos de café moídos, dose dupla, sem leite"
"Coffee, long black style, from ground coffee beans, half shot, without milk","Café, estilo longo preto, feito de grãos de café moídos, meia dose, sem leite  "
"Coffee, long black style, from ground beans, decaffeinated, without milk","Café, estilo longo preto, feito de grãos moídos, descafeinado, sem leite  "
"Coffee substitute, cereal beverage, dry powder or granules","Substituto de café, bebida de cereal, pó seco ou grânulos  "
"Coffee, prepared from coffee substitute powder & water, no added milk","Café, preparado com pó de substituto de café e água, sem leite adicionado  "
"Coffee & chicory essence, concentrate","Essência de café e chicória, concentrado"
"Coffee mix, with beverage whitener & sugar, dry powder","Mistura de café, com clareador de bebida e açúcar, pó seco  "
"Coffee, prepared from coffee mix with sugar & whitener, no added milk","Café, preparado a partir de mistura de café com açúcar e clareador, sem leite adicionado  "
"Coffee mix, with beverage whitener & intense sweetener, dry powder","Mistura de café, com clareador de bebida e adoçante intenso, pó seco  "
"Coffee, prepared from coffee mix with intense sweetener & whitener, no added milk","Café, preparado a partir de mistura de café com adoçante intenso e clareador, sem leite adicionado  "
"Coffee mix, with beverage whitener & sugar, decaffeinated, dry powder","Mistura de café, com clareador de bebida e açúcar, descafeinado, pó seco"
"Coffee, prepared from decaffeinated coffee mix with sugar & whitener, no added milk","Café, preparado a partir de mistura de café descafeinado com açúcar e clareador, sem leite adicionado  "
"Coffee, prepared from coffee mix, not further defined, no added milk","Café, preparado a partir de mistura de café, não definido, sem leite adicionado  "
Coffee & milk concentrate,Concentrado de café e leite  
"Coffee, prepared from coffee & milk concentrate, no added milk","Café, preparado a partir de concentrado de café e leite, sem leite adicionado  "
"Coffee whitener, dry powder","Clareador de café, pó seco"
"Coffee, not further defined","Café, não definido  "
"Cordial base, 25% citrus fruit juice (orange & lemon), regular","Base de cordial, 25% suco de frutas cítricas (laranja e limão), regular  "
"Cordial base, 40% citrus fruit juice (orange, lemon or lime), regular","Base de cordial, 40% suco de frutas cítricas (laranja, limão ou lima), regular  "
"Cordial base, 25% non-citrus fruit juice (apple & berry), regular","Base de cordial, 25% suco de frutas não cítricas (maçã e frutas vermelhas), regular  "
"Cordial base, 40% non-citrus fruit juice (apple & berry), regular","Base de cordial, 40% suco de frutas não cítricas (maçã e frutas vermelhas), regular"
"Cordial base, apple & berry, regular","Cordial base, maçã e frutas vermelhas, regular  "
"Cordial base, blackcurrant juice, regular","Cordial base, suco de groselha, regular  "
"Cordial base, fruit cup or tropical, regular","Cordial base, copo de frutas ou tropical, regular  "
"Cordial base, ginger, regular","Cordial base, gengibre, regular  "
"Cordial base, grenadine syrup","Cordial base, xarope de grenadine"
"Cordial base, lemon, regular","Cordial base, limão, regular  "
"Cordial base, lime or green, regular","Cordial base, limão ou verde, regular  "
"Cordial base, orange or orange & mango, regular","Cordial base, laranja ou laranja & manga, regular  "
"Cordial base, 25% citrus fruit juice (orange or lemon), intense sweetened or diet","Cordial base, 25% suco de frutas cítricas (laranja ou limão), adoçado intenso ou diet  "
"Cordial base, apple & berry, intense sweetened or diet","Cordial base, maçã & frutas vermelhas, adoçado intenso ou diet"
"Cordial base, blackcurrant juice, intense sweetened or diet","Base de cordial, suco de groselha, adoçado intenso ou diet  "
"Cordial base, fruit cup or tropical, intense sweetened or diet","Base de cordial, copo de frutas ou tropical, adoçado intenso ou diet  "
"Cordial base, lemon, intense sweetened or diet","Base de cordial, limão, adoçado intenso ou diet  "
"Cordial base, lime or green, intense sweetened or diet","Base de cordial, limão ou verde, adoçado intenso ou diet  "
"Cordial base, orange or orange & mango, intense sweetened or diet","Base de cordial, laranja ou laranja & manga, adoçado intenso ou diet"
"Cordial, 25% citrus fruit juice, regular, recommended dilution","Cordial, 25% suco de frutas cítricas, regular, diluição recomendada  "
"Cordial, 40% citrus fruit juice, regular, recommended dilution","Cordial, 40% suco de frutas cítricas, regular, diluição recomendada  "
"Cordial, 25% non-citrus fruit juice, regular, recommended dilution","Cordial, 25% suco de frutas não cítricas, regular, diluição recomendada  "
"Cordial, 40% non-citrus fruit juice, regular, recommended dilution","Cordial, 40% suco de frutas não cítricas, regular, diluição recomendada  "
"Cordial, apple & berry, regular, stronger than recommended dilution","Cordial, maçã & frutas vermelhas, regular, diluição mais forte que a recomendada"
"Cordial, apple & berry, regular, recommended dilution","Cordial, maçã e frutas vermelhas, regular, diluição recomendada  "
"Cordial, apple & berry, regular, weaker than recommended dilution","Cordial, maçã e frutas vermelhas, regular, mais fraca que a diluição recomendada  "
"Cordial, blackcurrant juice, regular, stronger than recommended dilution","Cordial, suco de groselha negra, regular, mais forte que a diluição recomendada  "
"Cordial, blackcurrant juice, regular, recommended dilution","Cordial, suco de groselha negra, regular, diluição recomendada  "
"Cordial, blackcurrant juice, regular, weaker than recommended dilution","Cordial, suco de groselha negra, regular, mais fraco que a diluição recomendada"
"Cordial, fruit cup or tropical, regular, stronger than recommended dilution","Cordial, copo de frutas ou tropical, regular, diluição mais forte que a recomendada  "
"Cordial, fruit cup or tropical, regular, recommended dilution","Cordial, copo de frutas ou tropical, regular, diluição recomendada  "
"Cordial, fruit cup or tropical, regular, weaker than recommended dilution","Cordial, copo de frutas ou tropical, regular, diluição mais fraca que a recomendada  "
"Cordial, ginger, regular, recommended dilution","Cordial, gengibre, regular, diluição recomendada  "
"Cordial, lemon, regular, recommended dilution","Cordial, limão, regular, diluição recomendada"
"Cordial, lemon, regular, weaker than recommended dilution","Cordial, limão, regular, mais fraco que a diluição recomendada  "
"Cordial, lime or green, regular, stronger than recommended dilution","Cordial, limão ou verde, regular, mais forte que a diluição recomendada  "
"Cordial, lime or green, regular, recommended dilution","Cordial, limão ou verde, regular, diluição recomendada  "
"Cordial, lime or green, regular, weaker than recommended dilution","Cordial, limão ou verde, regular, mais fraco que a diluição recomendada  "
"Cordial, orange or orange & mango, regular, stronger than recommended dilution","Cordial, laranja ou laranja & manga, regular, mais forte que a diluição recomendada"
"Cordial, orange or orange & mango, regular, recommended dilution","Cordial, laranja ou laranja & manga, regular, diluição recomendada  "
"Cordial, orange or orange & mango, regular, weaker than recommended dilution","Cordial, laranja ou laranja & manga, regular, mais fraca que a diluição recomendada  "
"Cordial, apple & berry, intense sweetened or diet, recommended dilution","Cordial, maçã & frutas vermelhas, adoçado intenso ou diet, diluição recomendada  "
"Cordial, blackcurrant juice, intense sweetened or diet, recommended dilution","Cordial, suco de groselha, adoçado intenso ou diet, diluição recomendada  "
"Cordial, 25% citrus fruit juice, intense sweetened or diet, recommended dilution","Cordial, suco de frutas cítricas 25%, adoçado intenso ou diet, diluição recomendada"
"Cordial, fruit cup or tropical, intense sweetened, recommended dilution","Cordial, mistura de frutas ou tropical, adoçado intenso, diluição recomendada  "
"Cordial, lemon, intense sweetened or diet, recommended dilution","Cordial, limão, adoçado intenso ou diet, diluição recomendada  "
"Cordial, lime or green, intense sweetened or diet, recommended dilution","Cordial, limão ou verde, adoçado intenso ou diet, diluição recomendada  "
"Cordial, orange or orange & mango, intense sweetened or diet, recommended dilution","Cordial, laranja ou laranja & manga, adoçado intenso ou diet, diluição recomendada  "
"Fruit drink, from dry base, regular, recommended dilution","Bebida de fruta, a partir de base seca, regular, diluição recomendada"
"Fruit drink, aloe vera, commercial","Bebida de fruta, aloe vera, comercial  "
"Fruit drink, apple juice, commercial","Bebida de fruta, suco de maçã, comercial  "
"Fruit drink, 25% apple juice, commercial","Bebida de fruta, 25% suco de maçã, comercial  "
"Fruit drink, 35% apple juice, commercial, added vitamin C","Bebida de fruta, 35% suco de maçã, comercial, com vitamina C adicionada  "
"Fruit drink, apple & blackcurrant, commercial","Bebida de fruta, maçã e groselha negra, comercial"
"Fruit drink, apple & mango, commercial","Bebida de fruta, maçã e manga, comercial  "
"Fruit drink, apricot juice, commercial","Bebida de fruta, suco de damasco, comercial  "
"Fruit drink, blackcurrant, commercial","Bebida de fruta, groselha preta, comercial  "
"Fruit drink, cranberry, commercial","Bebida de fruta, cranberry, comercial  "
"Fruit drink, cranberry & blackcurrant, commercial","Bebida de fruta, cranberry e groselha preta, comercial"
"Fruit drink, guava, commercial","Bebida de fruta, goiaba, comercial  "
"Fruit drink, lemon or lime juice, commercial","Bebida de fruta, suco de limão ou lima, comercial  "
"Fruit drink, mango, commercial","Bebida de fruta, manga, comercial  "
"Fruit drink, 25% orange juice, commercial","Bebida de fruta, 25% suco de laranja, comercial  "
